id,localid,name,description,value,quantity,powerdissipation,location,datasheet,unit,maxvoltage,elementtype
146,A5400,A5400,Uklad scalony,0.0,3,,-,,,-,microcontroler
147,smsc 8720a,smsc 8720a,Uklad scalony,0.0,2,,-,,,-,microcontroler
148,stm32f429,stm32f429,Uklad scalony,0.0,2,,-,,,-,microcontroler
149,MAX232,MAX232,Uklad scalony,0.0,15,,-,,,-,microcontroler
150,stm32f401rct6,stm32f401rct6,Uklad scalony,0.0,17,,-,,,-,microcontroler
151,ltc487csw,ltc487csw,Uklad scalony,0.0,12,,-,,,-,microcontroler
152,pds1040l-13,pds1040l-13,Dioda schottky,0.0,100,,-,,,-,diode
153,WL-SDSBSMT,WL-SDSB SMT,Fotodioda,0.0,5,,-,,,-,diode
154,IRWL-TIRWTHT,IR WL-TIRW THT,Dioda podczerwona,0.0,10,,-,,,-,diode
155,IRWL-SISWSMT,IR WL-SISW SMT,Dioda podczerwona,0.0,5,,-,,,-,diode
156,IRWL-TDRB5mm,IR WL-TDRB 5mm,Dioda podczerwona,0.0,5,,-,,,-,diode
157,IRWL-TDRB3mm,IR WL-TDRB 3mm,Dioda podczerwona,0.0,5,,-,,,-,diode
158,IRWL-SISW,IR WL-SISW,Dioda podczerwona,0.0,5,,-,,,-,diode
159,WE-CPUEMI,WE-CPU EMI,Suppression CPU Ferrite Plate,0.0,2,,-,,,-,ferrit
160,IRLML0060TRPBF,IRLML0060TRPBF,Tranzystor MOSFET,0.0,10,,-,,,-,transistor
161,stm32f030f4p6,stm32f0 30f4p6,Uklad scalony,0.0,18,,-,,,-,microcontroler
162,SC70,SC70,Uklad scalony2xNOT 2U4C,0.0,50,,-,,,-,microcontroler
163,2W25V1212V,"2W 2,5V/12-12V",Przetwornik DC/DC,0.0,1,,-,,,-,converter
164,1N4148W-7-F,1N4148W-7-F,Dioda,0.0,3200,,-,,,-,diode
165,sn75176ad,sn75176ad,Uklad scalony,0.0,3,,-,,,-,microcontroler
166,st26c31bdr,st26c31bdr,Uklad scalony,0.0,1,,-,,,-,microcontroler
167,SOD-123F,SOD-123F,Uklad scalony,0.0,100,,-,,,-,microcontroler
168,LM833DR2G,LM833DR2G,Uklad scalony,0.0,25,,-,,,-,microcontroler
169,NE5532ADR,NE5532ADR,Uklad scalony,0.0,25,,-,,,-,microcontroler
170,uits5a3159,uits5a3159,Uklad scalony,0.0,60,,-,,,-,microcontroler
171,LM404CIM3X,LM404CIM3X,Uklad scalony,0.0,16,,-,,,-,microcontroler
172,ss18,ss18,Dioda schottky,0.0,85,,-,,,-,diode
173,SMF30CA-DIO,SMF30CA-DIO,Transil,0.0,5,,-,,,-,diode
174,BC807,BC 807,Tranzystor,0.0,100,,-,,,-,transistor
175,MCP1501T,MCP1501T,Uklad scalony,0.0,2,,-,,,-,microcontroler
176,TL072,TL072,Uklad scalony,0.0,17,,-,,,-,microcontroler
177,NC7SZ00M5X,NC7SZ00M5X,Uklad scalony,0.0,50,,-,,,-,microcontroler
178,AM26C31CD,AM26C31CD,Uklad scalony,0.0,5,,-,,,-,microcontroler
179,PTVS28VS1UR,PTVS28VS1UR,Uklad scalony,0.0,5,,-,,,-,microcontroler
180,DC201,DC201,Dioda schottky,0.0,3,,-,,,-,diode
181,NTC10K,NTC 10 K,Termistor,0.0,1,,-,,,-,thermistor
182,STM32H753ZIT6,STM32H753ZIT6,Uklad scalony,0.0,8,,-,,,-,microcontroler
183,stf203-33,stf203-33,Uklad scalony,0.0,25,,-,,,-,microcontroler
184,25MHz,25MHz,Rezonstor Kwarcowy,0.0,17,,-,,,-,oscillator
185,SP485EE,SP485EE RS 485,Uklad scalony,0.0,10,,-,,,-,microcontroler
186,NC7SZ126P5X,NC7SZ126P5X,Uklad scalony,0.0,30,,-,,,-,microcontroler
187,32768KHz,"32,768 KHz",Rezonstor Kwarcowy,0.0,10,,-,,,-,ocsillator
188,AP2127K-ADJTRG1,AP2127K-ADJTRG1,Uklad scalony,0.0,12,,-,,,-,microcontroler
189,NC7SZ32P5X,NC7SZ32P5X,Uklad scalony,0.0,9,,-,,,-,microcontroler
190,MMSZ5243BT1G,MMSZ5243BT1G,Dioda Zenera,0.0,12,,-,,,-,diode
191,CPC1017NIXYS,CPC1017N IXYS,Uklad scalony,0.0,6,,-,,,-,microcontroler
192,smsc8742a,smsc8742a,Uklad scalony,0.0,4,,-,,,-,microcontroler
193,NTC10KSMD,NTC 10 K? SMD,Termistor,0.0,10,,-,,,-,thermistor
194,am26c32cd,am26c32cd,Uklad scalony,0.0,10,,-,,,-,microcontroler
195,ACSL-6210-00RE,ACSL-6210-00RE,Transoptor,0.0,9,,-,,,-,transoptor
196,8 MHz,8 MHz,Rezonator Kwarcowy,0.0,7,,-,,,-,oscillator
197,33VSMDSOT223,"3,3V SMD SOT223",Stabilizator napiecia,0.0,4,,-,,,-,voltage regulator
